127.0.0.1 - - [09/Apr/2016:00:05:19 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Apr/2016:00:05:20 +0800] "GET /community/ HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [09/Apr/2016:00:05:37 +0800] "GET /community/register.jsp HTTP/1.1" 200 2600
0:0:0:0:0:0:0:1 - - [09/Apr/2016:00:05:37 +0800] "GET /community/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:00:06:04 +0800] "POST /community/process_register.jsp HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [09/Apr/2016:00:06:04 +0800] "GET /community/css/images/jiantou3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:00:06:04 +0800] "GET /community/css/images/user.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:00:06:04 +0800] "GET /community/css/images/pass.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:00:06:15 +0800] "POST /community/process_login.jsp HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [09/Apr/2016:00:09:58 +0800] "GET /community/register.jsp HTTP/1.1" 200 2600
0:0:0:0:0:0:0:1 - - [09/Apr/2016:00:10:12 +0800] "POST /community/process_register.jsp HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [09/Apr/2016:00:10:19 +0800] "POST /community/process_login.jsp HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [09/Apr/2016:00:14:23 +0800] "GET /community/register.jsp HTTP/1.1" 200 2600
0:0:0:0:0:0:0:1 - - [09/Apr/2016:00:14:56 +0800] "POST /community/process_register.jsp HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [09/Apr/2016:00:15:03 +0800] "POST /community/process_login.jsp HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [09/Apr/2016:00:20:12 +0800] "GET /community/register.jsp HTTP/1.1" 200 2600
0:0:0:0:0:0:0:1 - - [09/Apr/2016:00:20:13 +0800] "GET /community/css/images/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:00:20:13 +0800] "GET /community/css/images/top.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:00:20:13 +0800] "GET /community/css/images/header.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:00:20:24 +0800] "POST /community/process_register.jsp HTTP/1.1" 200 2600
0:0:0:0:0:0:0:1 - - [09/Apr/2016:00:25:31 +0800] "POST /community/process_register.jsp HTTP/1.1" 200 2600
0:0:0:0:0:0:0:1 - - [09/Apr/2016:00:27:03 +0800] "POST /community/process_register.jsp HTTP/1.1" 200 2600
0:0:0:0:0:0:0:1 - - [09/Apr/2016:00:28:46 +0800] "POST /community/process_register.jsp HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [09/Apr/2016:00:29:44 +0800] "GET /community/register.jsp HTTP/1.1" 200 2600
0:0:0:0:0:0:0:1 - - [09/Apr/2016:00:30:01 +0800] "POST /community/process_register.jsp HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [09/Apr/2016:00:32:54 +0800] "GET /community/register.jsp HTTP/1.1" 200 2600
0:0:0:0:0:0:0:1 - - [09/Apr/2016:00:33:11 +0800] "POST /community/process_register.jsp HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [09/Apr/2016:00:33:50 +0800] "POST /community/process_login.jsp HTTP/1.1" 404 1030
